                   ¹               t_otn                   U                   V                   R                 Phi               Psi_U               Psi_V               Psi_R             Psi_Phi                   H                Teta           Teta_grad               t_abs
                 130                0.13          4363.98871         29072.35537     1.592996175e+11        0.8849529762         408.8290358         260.6891819      0.000182280676                   0     2.071849359e-10       -0.1937271098        -11.09974579         4532282.728
                 131               0.131         4395.428993         29050.19096     1.594523108e+11        0.8913101781         404.1215338         255.7684524     0.0001819431491                   0     2.066260496e-10       -0.1925192475        -11.03054037         4567146.441
                 132               0.132         4426.723863         29027.83252     1.596060978e+11        0.8976564083          399.391868         250.9133536     0.0001816101061                   0     2.060611681e-10       -0.1913294565        -10.96237037         4602010.154
                 133               0.133         4457.871455         29005.28247     1.597609732e+11        0.9039916025         394.6403894         246.1240015     0.0001812815567                   0     2.054905135e-10       -0.1901585035         -10.8952797         4636873.868
                 134               0.134         4488.869935         28982.54325     1.599169319e+11        0.9103156976         389.8674483         241.4005052     0.0001809575097                   0     2.049129755e-10        -0.189007192        -10.82931442         4671737.581
                 135               0.135         4519.717497         28959.61734     1.600739688e+11        0.9166286314         385.0733945         236.7429673      0.000180637973                   0     2.043287761e-10        -0.187876365         -10.7645228         4706601.294
                 136               0.136         4550.412362         28936.50726     1.602320784e+11        0.9229303431         380.2585769         232.1514835     0.0001803229538                   0     2.037383595e-10       -0.1867669072        -10.70095555         4741465.007
                 137               0.137         4580.952782         28913.21555     1.603912555e+11         0.929220773         375.4233438         227.6261432     0.0001800124584                   0     2.031395052e-10        -0.185679748        -10.63866592         4776328.721
                 138               0.138         4611.337036         28889.74478     1.605514947e+11        0.9354998626         370.5680427         223.1670293     0.0001797064923                   0     2.025331014e-10       -0.1846158645        -10.57770988         4811192.434
                 139               0.139         4641.563429         28866.09756     1.607127904e+11        0.9417675545         365.6930201          218.774218     0.0001794050601                   0      2.01918704e-10       -0.1835762847        -10.51814635         4846056.147
                 140                0.14         4671.630295         28842.27655     1.608751371e+11        0.9480237925         360.7986216         214.4477792     0.0001791081657                   0     2.012954248e-10       -0.1825620911        -10.46003734         4880919.861
                 141               0.141         4701.535997          28818.2844     1.610385292e+11        0.9542685216         355.8851919         210.1877765     0.0001788158122                   0     2.006625976e-10       -0.1815744246        -10.40344822         4915783.574
                 142               0.142         4731.278921         28794.12385     1.612029612e+11        0.9605016881         350.9530744         205.9942671     0.0001785280018                   0     2.000204447e-10       -0.1806144886        -10.34844793         4950647.287
                 143               0.143         4760.857484         28769.79764     1.613684272e+11        0.9667232393         346.0026117         201.8673022     0.0001782447362                   0     1.993671894e-10       -0.1796835533        -10.29510927             4985511
                 144               0.144         4790.270125         28745.30855     1.615349216e+11        0.9729331237          341.034145         197.8069263     0.0001779660159                   0     1.987023879e-10       -0.1787829611        -10.24350914         5020374.714
                 145               0.145          4819.51531         28720.65942     1.617024385e+11        0.9791312914         336.0480145         193.8131784     0.0001776918412                   0      1.98025818e-10       -0.1779141316        -10.19372887         5055238.427
                 146               0.146         4848.591531          28695.8531      1.61870972e+11        0.9853176931         331.0445588         189.8860909     0.0001774222111                   0     1.973363695e-10       -0.1770785677        -10.14585459          5090102.14
                 147               0.147         4877.497301         28670.89252     1.620405163e+11        0.9914922812         326.0241156         186.0256905     0.0001771571243                   0     1.966327101e-10       -0.1762778616        -10.09997751         5124965.854
                 148               0.148          4906.23116         28645.78063     1.622110654e+11        0.9976550092         320.9870208         182.2319978     0.0001768965787                   0     1.959139517e-10       -0.1755137023         -10.0561944         5159829.567
                 149               0.149         4934.791667         28620.52041     1.623826132e+11         1.003805832         315.9336093         178.5050276     0.0001766405712                   0      1.95178762e-10       -0.1747878826          -10.014608          5194693.28
                 150                0.15         4963.177404         28595.11492     1.625551537e+11         1.009944705         310.8642142         174.8447888     0.0001763890983                   0     1.944258088e-10       -0.1741023082        -9.975327477         5229556.993
                 151               0.151         4991.386974         28569.56726     1.627286807e+11         1.016071586         305.7791673         171.2512846     0.0001761421558                   0     1.936537597e-10       -0.1734590062        -9.938468987         5264420.707
                 152               0.152         5019.418997         28543.88056     1.629031882e+11         1.022186432         300.6787987         167.7245124     0.0001758997388                   0     1.928608384e-10       -0.1728601355        -9.904156223          5299284.42
                 153               0.153         5047.272112         28518.05803     1.630786698e+11         1.028289205         295.5634369         164.2644642     0.0001756618416                   0     1.920452686e-10       -0.1723079978        -9.872521065         5334148.133
